"","ID","MonthlyIncome"
"1",871,5721.9571490119
"2",872,3010.30614150408
"3",873,13135.1265328243
"4",874,2581.1762957966
"5",875,2622.75366723706
"6",876,4615.21677176927
"7",877,5258.80119491957
"8",878,2370.18725254466
"9",879,3060.01028780082
"10",880,13271.0039549043
"11",881,9621.87259800658
"12",882,2894.20870975684
"13",883,5529.0302200524
"14",884,5584.21657384565
"15",885,5602.93594667124
"16",886,5935.7257704316
"17",887,5872.93218639215
"18",888,5452.22333091497
"19",889,4590.25728671458
"20",890,3058.96282963925
"21",891,4636.80799812824
"22",892,9070.34191099555
"23",893,8774.63609221358
"24",894,5731.11768064594
"25",895,9845.52055556651
"26",896,9341.40638864471
"27",897,8976.87731287236
"28",898,15813.5399129477
"29",899,5680.79381655457
"30",900,2940.75942117051
"31",901,2794.40903371613
"32",902,5214.53683170564
"33",903,6177.91818219537
"34",904,2932.14960888239
"35",905,16217.616836238
"36",906,5438.78805526099
"37",907,9231.92717723988
"38",908,5955.75097121248
"39",909,2704.50421412913
"40",910,2858.54254500191
"41",911,19221.9983856444
"42",912,3058.29258596229
"43",913,2700.61153712038
"44",914,12297.7572495773
"45",915,5955.75097121248
"46",916,4338.6940141717
"47",917,2826.93672379388
"48",918,5515.34009718904
"49",919,2457.54232738752
"50",920,3023.52701668503
"51",921,2571.36502476414
"52",922,2713.66474576317
"53",923,4382.96999121475
"54",924,3896.61777620494
"55",925,16131.4390863215
"56",926,3116.99161480823
"57",927,5814.0048004915
"58",928,12896.4572330993
"59",929,2235.81552665796
"60",930,2699.94129344342
"61",931,5548.63826506055
"62",932,12486.6990526511
"63",933,9047.89662142157
"64",934,2539.8665473915
"65",935,2497.21691862931
"66",936,2572.42847320343
"67",937,9390.22976606
"68",938,9730.13622616257
"69",939,5085.76370971724
"70",940,2350.0547079284
"71",941,3197.73590276118
"72",942,9085.83752054711
"73",943,9621.87259800658
"74",944,5997.58454734677
"75",945,2210.00516265735
"76",946,5638.51813503129
"77",947,2457.54232738752
"78",948,2826.93672379388
"79",949,3096.23348508783
"80",950,5675.26108317573
"81",951,2915.75859066304
"82",952,5629.16279456566
"83",953,5645.52345662577
"84",954,2624.05949519233
"85",955,4036.85916783084
"86",956,7825.65524408341
"87",957,10320.2780559761
